router,role,method,full_path,handler,upload_middleware
adminRouter.js,admin,GET,/dashboard/withdrawRequests,withdrawalRequestsController.getWithdrawRequests,
adminRouter.js,admin,GET,/dashboard/withdrawRequests/status,withdrawalRequestsController.getAllWithdrawalRequestStatus,
adminRouter.js,admin,GET,/dashboard/withdrawRequests/maxAmount,withdrawalRequestsController.getMaxAmountWithdrawRequest,
adminRouter.js,admin,POST,/dashboard/withdrawRequests/filter,withdrawalRequestsController.filterWithdrawRequests,
adminRouter.js,admin,GET,/dashboard/withdrawRequests/:id,withdrawalRequestsController.getWithdrawRequestDetail,
adminRouter.js,admin,PUT,/dashboard/withdrawRequests/:id,withdrawalRequestsController.updateWithdrawStatus,
adminRouter.js,admin,GET,/dashboard/review-reports,reportController.getReviewReports,
adminRouter.js,admin,DELETE,/dashboard/reports/:reportId,reportController.softDeleteReport,
adminRouter.js,admin,PUT,/dashboard/reports/:reportId/send-email,reportController.sendReportReplyByEmail,
adminRouter.js,admin,GET,/dashboard/reports/filter,reportController.filterReviewReports,
adminRouter.js,admin,GET,/dashboard/reports/filter/boarding-house,reportController.filterBHReports,
adminRouter.js,admin,GET,/dashboard/reportReview/:reportId,reportController.getReportReviewDetail,
adminRouter.js,admin,GET,/dashboard/reportBH/:reportId,reportController.getReportReviewDetail,
adminRouter.js,admin,GET,/dashboard/reviews,ReviewController.getReviews,
adminRouter.js,admin,GET,/dashboard/reviews/filter,reviewController.filterReviews,
adminRouter.js,admin,DELETE,/dashboard/reviews/:reviewId,reviewController.softDeleteReview,
adminRouter.js,admin,GET,/dashboard/boarding-house-reports,reportController.getBHReports,
adminRouter.js,admin,GET,/dashboard/review/:reviewId,ReviewController.getReviewDetail,
adminRouter.js,admin,GET,/dashboard/boardinghouse,boardingHouseController.getAllBHOnDashBoard,
adminRouter.js,admin,GET,/dashboard/boardinghouse/:id,boardingHouseController.getBoardingHouseDetails,
adminRouter.js,admin,PUT,/dashboard/boardinghouse/:id,boardingHouseController.updateBoardingHouseDetails,upload.array
adminRouter.js,admin,GET,/dashboard/types,boardingHouseController.getAllBoardingHouseTypes,
adminRouter.js,admin,POST,/dashboard/boardinghouse/:id/images,boardingHouseController.addBoardingHouseImage,
adminRouter.js,admin,PUT,/dashboard/boardinghouse/:id/images/:imageId,boardingHouseController.updateBoardingHouseImage,
adminRouter.js,admin,DELETE,/dashboard/boardinghouse/:id/images/:imageId,boardingHouseController.deleteBoardingHouseImage,
adminRouter.js,admin,GET,/dashboard/boardinghouse/:id/images,boardingHouseController.getBoardingHouseImages,
adminRouter.js,admin,POST,/dashboard/boardinghouse/create,boardingHouseController.createBoardingHouse,upload.array
adminRouter.js,admin,POST,/dashboard/boardinghouse/uploadFile,boardingHouseController.uploadFile,upload.array
adminRouter.js,admin,GET,/dashboard/boardinghouse/chore/get-max,boardingHouseController.getMaxPriceBH,
adminRouter.js,admin,GET,/dashboard/boardinghouse/chore/filter,boardingHouseController.filterBoardingHouse,
adminRouter.js,admin,DELETE,/dashboard/boardinghouse/:id/softDelete,boardingHouseController.softDeleteBoardingHouse,
adminRouter.js,admin,POST,/dashboard/boardinghouse/uploadFile,boardingHouseController.uploadFile,
adminRouter.js,admin,POST,/dashboard/boardinghousetype/create,boardingHouseController.createBoardingHouseType,
adminRouter.js,admin,GET,/dashboard/boardinghousetype/filter,boardingHouseController.filterBoardingHouseType,
adminRouter.js,admin,GET,/dashboard/boardinghousetype/:id,boardingHouseController.getBoardingHouseTypeDetails,
adminRouter.js,admin,PUT,/dashboard/boardinghousetype/:id,boardingHouseController.updateBoardingHouseType,
adminRouter.js,admin,DELETE,/dashboard/boardinghousetype/:id,boardingHouseController.softDeleteBoardingHouseType,
adminRouter.js,admin,GET,/dashboard/account,accountController.getAllAccount,
adminRouter.js,admin,DELETE,/dashboard/account/:accountId,accountController.softDeleteAccount,
adminRouter.js,admin,GET,/dashboard/account/filter,accountController.filterAccounts,
adminRouter.js,admin,POST,/dashboard/account/create,accountController.createAccount,
adminRouter.js,admin,PUT,/dashboard/account/:accountId,accountController.updateAccount,
adminRouter.js,admin,GET,/dashboard/facilities,facilitiesController.getAllFacilities,
adminRouter.js,admin,DELETE,/dashboard/facilities/:id,facilitiesController.deleteFacilities,
adminRouter.js,admin,PUT,/dashboard/facilities/:id,facilitiesController.updateFacilities,
adminRouter.js,admin,GET,/dashboard/facilities/filter,facilitiesController.filterFacilities,
adminRouter.js,admin,POST,/dashboard/facilities,facilitiesController.addFacilities,
authRouter.js,authenticated,GET,/auth/,res.send,
authRouter.js,authenticated,GET,/auth/user,authController.getAccountFromToken,
authRouter.js,authenticated,GET,/auth/favorites,favoriteController.getFavorites,
authRouter.js,authenticated,POST,/auth/favorites/create,favoriteController.createFavorite,
authRouter.js,authenticated,DELETE,/auth/favorites/:boardingHouseId,favoriteController.deleteFavorite,
authRouter.js,authenticated,GET,/auth/allfavorites,favoriteController.getAllFavorites,
authRouter.js,authenticated,POST,/auth/change-password,accountController.changePassword,
authRouter.js,authenticated,PUT,/auth/profile,accountController.updateAccountFromProfile,
authRouter.js,authenticated,PUT,/auth/avatar,accountController.updateAvatar,upload.single
authRouter.js,authenticated,PUT,/auth/review,ReviewController.updateReviewImage,upload.single
